V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,hom2004
5,2,0,1,0,0,0,3,1,0,8,0,8,1,0,0,14,12,1,0,11,5,0,0,1,7,3,14,0,37,4,9,38,71,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,3,0,0,4,1,0,0,1,2,0,7,2,14,2,0,1,17,9,1,1,2,5,0,0,1,5,2,5,3,18,2,3,17,22,5,0,0,17,1,0,0,1,3,1,17,1,6,2,0,2,7,7
7,0,0,6,1,0,0,0,1,1,8,2,14,2,0,3,48,11,2,0,12,3,0,0,3,3,7,15,5,50,5,9,23,45,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,1,5,1,0,6,0,0,0,2,2,0,7,0,14,1,0,3,7,6,0,0,8,2,1,0,8,3,2,9,3,20,3,3,6,14,5,1,0,7,0,0,0,1,1,1,13,1,8,0,1,2,2,8
8,0,0,1,1,0,0,1,1,1,4,1,10,2,1,5,7,11,1,0,18,2,0,0,5,6,4,13,5,29,5,9,34,39,3,1,0,2,0,0,0,0,1,1,2,0,3,0,0,3,2,0,0,0,4,2,0,0,0,3,1,2,2,11,1,2,3,5,7,1,0,9,1,0,0,2,3,1,8,2,26,2,3,24,16,4,1,0,12,0,0,0,1,4,0,15,2,10,0,0,4,4,4
4,1,0,5,3,0,0,0,0,1,6,0,13,2,0,11,6,6,2,0,11,5,0,1,5,7,7,17,1,47,6,11,24,38,2,1,0,1,0,0,0,0,3,1,6,0,4,0,1,0,1,3,1,0,3,3,0,0,1,1,0,2,2,9,2,0,4,4,13,3,0,7,2,0,0,7,6,0,4,2,25,4,4,19,11,5,0,0,8,2,0,0,0,3,1,14,1,16,1,0,5,1,5
5,3,1,3,2,0,0,0,4,1,2,0,10,2,2,4,17,11,1,1,9,5,0,0,0,7,5,14,0,46,4,8,42,40,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,0,0,2,1,0,0,0,3,0,1,2,10,0,3,4,8,8,3,0,6,4,0,0,0,3,4,7,2,24,3,0,18,6,3,0,0,4,0,0,0,0,1,1,10,0,6,0,0,3,3,7
7,0,0,0,2,0,0,2,1,0,1,0,17,0,1,5,8,13,3,0,6,8,0,0,4,2,4,6,0,47,7,12,24,40,2,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,2,6,0,0,1,1,0,0,2,0,0,3,3,13,1,0,2,6,14,3,1,4,4,0,0,4,2,3,1,0,23,4,2,12,12,9,0,0,0,1,0,0,0,4,1,7,1,5,0,0,1,5,2
2,1,3,1,0,0,0,0,0,6,16,1,43,5,2,3,0,5,0,2,1,0,13,0,6,6,91,40,0,99,11,15,38,0,2,2,0,0,0,0,0,0,1,0,1,0,5,1,0,0,0,6,0,1,1,0,1,0,3,1,5,6,0,24,1,1,2,0,4,2,7,3,0,4,0,1,3,25,20,0,56,3,2,12,0,3,0,2,0,0,1,0,2,5,4,10,2,11,4,0,2,0,5
5,0,0,0,1,1,0,1,1,9,14,1,8,2,0,1,11,7,3,2,2,6,5,1,5,6,99,20,1,55,7,10,44,50,4,0,0,0,0,0,0,0,1,1,3,2,4,0,1,1,3,5,0,0,0,2,2,0,3,1,4,11,1,10,0,2,5,7,8,2,2,1,6,4,0,6,1,18,13,2,27,1,4,6,18,11,1,0,1,4,2,0,0,5,12,5,2,9,2,0,3,3,6
6,0,0,1,0,3,0,1,0,4,14,5,16,2,0,2,5,13,1,2,6,4,6,0,2,1,111,59,0,35,5,9,32,38,3,0,0,0,0,0,0,0,1,4,2,1,2,0,0,1,1,3,1,1,1,0,0,0,1,0,6,10,0,6,0,0,5,4,9,1,1,6,1,7,0,5,0,36,12,1,29,2,2,13,5,9,3,1,1,0,0,0,0,0,7,13,1,6,1,0,3,5,6
6,2,1,2,1,2,0,2,0,4,7,0,9,2,0,3,8,12,3,1,12,6,5,0,4,3,101,36,0,34,7,5,8,36,0,0,0,0,0,0,0,3,4,0,6,0,3,0,0,0,1,2,3,0,1,0,0,0,2,0,1,6,1,7,0,1,0,9,8,4,0,7,3,4,0,4,1,38,22,1,17,3,1,7,9,7,1,1,2,0,1,0,2,0,6,5,2,10,1,0,2,7,5
